"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: calc","Param: dimension"
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,175.684140,0.091805,"ns/op",PlainJava,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,248.528985,0.100041,"ns/op",PlainJava,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,638.803774,0.391816,"ns/op",PlainJava,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,151.860916,0.068476,"ns/op",VectorApi,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,213.528759,0.116470,"ns/op",VectorApi,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,404.548266,0.105670,"ns/op",VectorApi,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,94.230765,0.105212,"ns/op",NativeJni,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,116.557001,0.068345,"ns/op",NativeJni,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,198.628124,0.145185,"ns/op",NativeJni,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,41.162575,0.047469,"ns/op",NativePanama,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,48.048284,0.049334,"ns/op",NativePanama,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,67.551667,0.107355,"ns/op",NativePanama,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,153.268817,0.151894,"ns/op",PlainJava,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,222.408032,0.077790,"ns/op",PlainJava,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,437.073700,1.782346,"ns/op",PlainJava,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,62.503451,0.157271,"ns/op",VectorApi,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,82.056841,0.069575,"ns/op",VectorApi,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,144.171000,0.061235,"ns/op",VectorApi,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,68.124548,0.066323,"ns/op",NativeJni,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,84.297853,0.060899,"ns/op",NativeJni,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,136.045582,0.782452,"ns/op",NativeJni,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,36.077426,0.028493,"ns/op",NativePanama,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,43.413795,0.053801,"ns/op",NativePanama,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,65.680449,0.386024,"ns/op",NativePanama,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,297.271542,0.109490,"ns/op",PlainJava,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,441.468645,0.169636,"ns/op",PlainJava,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,862.015642,0.281988,"ns/op",PlainJava,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,115.614219,0.099676,"ns/op",VectorApi,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,159.123919,0.908946,"ns/op",VectorApi,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,288.788842,0.223946,"ns/op",VectorApi,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,95.603432,0.041960,"ns/op",NativeJni,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,122.113325,0.102241,"ns/op",NativeJni,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,203.901482,0.215058,"ns/op",NativeJni,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,65.806078,0.067282,"ns/op",NativePanama,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,82.496455,0.071293,"ns/op",NativePanama,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,131.843375,0.096862,"ns/op",NativePanama,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.euclidDistance","avgt",1,10,159.713125,0.520288,"ns/op",PlainJava,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.euclidDistance","avgt",1,10,228.063654,0.066653,"ns/op",PlainJava,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.euclidDistance","avgt",1,10,438.440232,0.145061,"ns/op",PlainJava,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.euclidDistance","avgt",1,10,71.244021,0.045876,"ns/op",VectorApi,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.euclidDistance","avgt",1,10,95.898563,0.919844,"ns/op",VectorApi,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.euclidDistance","avgt",1,10,165.541598,0.128864,"ns/op",VectorApi,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.euclidDistance","avgt",1,10,87.180063,0.937891,"ns/op",NativeJni,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.euclidDistance","avgt",1,10,111.189278,0.681310,"ns/op",NativeJni,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.euclidDistance","avgt",1,10,191.370980,0.163305,"ns/op",NativeJni,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.euclidDistance","avgt",1,10,35.287495,0.132931,"ns/op",NativePanama,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.euclidDistance","avgt",1,10,41.662313,0.065554,"ns/op",NativePanama,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.euclidDistance","avgt",1,10,60.474686,0.048249,"ns/op",NativePanama,768
